#(0)Hugo,(1)Profile,(2)FL,(3)Material of Real,(4)Rotate,(5)FrontColor,(6)BackColor,(7)SectionColor
#SETTINGS,JISTYPE,mm,,,,,
#ALL,,,,,,,
,H-100x100x6x8x8,,,,matSTEEL,BLACK,BLACK
,H-125x125x6.5x9x8,,,,matSTEEL,BLACK,BLACK
,H-150x150x7x10x8,,,,matSTEEL,BLACK,BLACK
,H-175x175x7.5x11x13,,,,matSTEEL,BLACK,BLACK
,H-200x200x8x12x13,,,,matSTEEL,BLACK,BLACK
,H-250x250x9x14x13,,,,matSTEEL,BLACK,BLACK
,H-300x300x10x15x13,,,,matSTEEL,BLACK,BLACK
,H-350x350x12x19x13,,,,matSTEEL,BLACK,BLACK
,H-400x400x13x21x22,,,,matSTEEL,BLACK,BLACK
,H-414x405x18x28x22,,,,matSTEEL,BLACK,BLACK
,H-428x407x20x35x22,,,,matSTEEL,BLACK,BLACK
,H-148x100x6x9x8,,,,matSTEEL,BLACK,BLACK
,H-194x150x6x9x8,,,,matSTEEL,BLACK,BLACK
,H-244x175x7x11x13,,,,matSTEEL,BLACK,BLACK
,H-294x200x8x12x13,,,,matSTEEL,BLACK,BLACK
,H-340x250x9x14x13,,,,matSTEEL,BLACK,BLACK
,H-390x300x10x16x13,,,,matSTEEL,BLACK,BLACK
,H-440x300x11x18x13,,,,matSTEEL,BLACK,BLACK
,H-488x300x11x18x13,,,,matSTEEL,BLACK,BLACK
,H-588x300x12x20x13,,,,matSTEEL,BLACK,BLACK
,H-700x300x13x24x18,,,,matSTEEL,BLACK,BLACK
,H-800x300x14x26x18,,,,matSTEEL,BLACK,BLACK
,H-900x300x16x28x18,,,,matSTEEL,BLACK,BLACK
,H-912x302x18x34x18,,,,matSTEEL,BLACK,BLACK
,H-150x75x5x7x8,,,,matSTEEL,BLACK,BLACK
,H-175x90x5x8x8,,,,matSTEEL,BLACK,BLACK
,H-200x100x5.5x8x8,,,,matSTEEL,BLACK,BLACK
,H-250x125x6x9x8,,,,matSTEEL,BLACK,BLACK
,H-300x150x6.5x9x13,,,,matSTEEL,BLACK,BLACK
,H-350x175x7x11x13,,,,matSTEEL,BLACK,BLACK
,H-400x200x8x13x13,,,,matSTEEL,BLACK,BLACK
,H-450x200x9x14x13,,,,matSTEEL,BLACK,BLACK
,H-500x200x10x16x13,,,,matSTEEL,BLACK,BLACK
,H-600x200x11x17x13,,,,matSTEEL,BLACK,BLACK
,L-20x20x3x4x2,,,,matSTEEL,BLACK,BLACK
,L-25x25x3x4x2,,,,matSTEEL,BLACK,BLACK
,L-30x30x3x4x2,,,,matSTEEL,BLACK,BLACK
,L-30x30x5x4x3,,,,matSTEEL,BLACK,BLACK
